city_tier,age_group,acquisition_channel,loyalty_tier,preferred_category,marketing_consent,recency_days,frequency_180d,monetary_180d,return_rate_180d,avg_discount_pct_180d,avg_rating_180d,category_diversity_180d,ticket_count_90d,negative_ticket_rate_90d,avg_resolution_hours_90d,days_since_signup,sessions_30d,product_views_30d,cart_adds_30d,wishlist_adds_30d,abandoned_carts_30d,email_opens_30d,campaign_clicks_30d,last_visit_days_ago,customer_id,actual_churn,churn_prob,predicted_churn
0,2,0,3,4,1,26,1,1882.4,0.0,0.4,5.0,1,1,1.0,34.4,243,2,8,1,0,0,0,0,0,CUST00938,1,0.2961232,0
0,1,3,1,0,1,64,3,2466.39,1.0,0.16,3.0,3,2,1.0,36.05,175,6,22,1,1,1,7,2,22,CUST00438,1,0.28817615,0
1,1,3,3,2,1,57,2,937.32,0.0,0.5,3.0,1,0,0.0,0.0,470,5,13,1,0,1,5,2,14,CUST00247,1,0.2821236,0
2,0,0,3,4,1,9,1,402.67,0.0,0.51,5.0,1,1,1.0,14.8,335,11,65,4,1,1,7,1,12,CUST00838,1,0.2140411,0
0,0,0,3,2,1,35,7,4340.19,0.0,0.42,3.43,4,0,0.0,0.0,526,4,15,1,1,1,0,0,1,CUST02072,1,0.19008248,0
1,3,5,3,3,1,99,2,2035.62,0.0,0.15,4.0,2,0,0.0,0.0,298,13,62,4,3,2,7,1,27,CUST01253,1,0.18857421,0
0,0,5,2,4,1,57,3,1929.3,0.0,0.29,3.67,3,0,0.0,0.0,419,0,0,0,0,0,0,0,15,CUST01826,1,0.18071486,0
1,0,1,2,4,1,59,4,3877.77,0.0,0.225,4.5,3,0,0.0,0.0,231,11,29,3,3,2,4,1,7,CUST01990,1,0.17638129,0
1,1,0,3,0,0,13,2,1358.99,0.0,0.15,4.5,2,0,0.0,0.0,552,2,8,1,0,1,0,0,7,CUST01655,1,0.13120207,0
2,1,5,3,3,0,26,1,1280.71,0.0,0.06,5.0,1,0,0.0,0.0,159,5,21,1,1,1,0,0,1,CUST00866,1,0.12264202,0
